Children,Income,Amount
1,101800,962.0
1,101900,963.0
1,102000,963.0
1,102100,964.0
1,102200,965.0
1,102300,966.0
1,102400,967.0
1,102500,967.0
1,102600,968.0
1,102700,969.0
1,102800,970.0
1,102900,971.0
1,103000,972.0
1,103100,973.0
1,103200,974.0
1,103300,974.0
1,103400,975.0
1,103500,976.0
1,103600,977.0
1,103700,978.0
1,103800,979.0
1,103900,979.0
1,104000,980.0
1,104100,981.0
1,104200,982.0
1,104300,983.0
1,104400,983.0
1,104500,984.0
1,104600,985.0
1,104700,986.0
1,104800,987.0
1,104900,988.0
1,105000,989.0
1,105100,990.0
1,105200,991.0
1,105300,991.0
1,105400,992.0
1,105500,993.0
1,105600,994.0
1,105700,995.0
1,105800,995.0
1,105900,996.0
1,106000,997.0
1,106100,998.0
1,106200,999.0
1,106300,1000.0
1,106400,1000.0
1,106500,1001.0
1,106600,1002.0
1,106700,1003.0
1,106800,1004.0
1,106900,1005.0
1,107000,1006.0
1,107100,1007.0
1,107200,1008.0
1,107300,1008.0
1,107400,1009.0
1,107500,1010.0
1,107600,1011.0
1,107700,1012.0
1,107800,1012.0
1,107900,1013.0
1,108000,1014.0
1,108100,1015.0
1,108200,1016.0
1,108300,1016.0
1,108400,1017.0
1,108500,1018.0
1,108600,1019.0
1,108700,1019.0
1,108800,1020.0
1,108900,1021.0
1,109000,1022.0
1,109100,1023.0
1,109200,1024.0
1,109300,1025.0
1,109400,1025.0
1,109500,1026.0
1,109600,1027.0
1,109700,1028.0
1,109800,1029.0
1,109900,1030.0
1,110000,1031.0
1,110100,1032.0
1,110200,1033.0
1,110300,1034.0
1,110400,1034.0
1,110500,1035.0
1,110600,1036.0
1,110700,1037.0
1,110800,1038.0
1,110900,1039.0
1,111000,1039.0
1,111100,1040.0
1,111200,1041.0
1,111300,1041.0
1,111400,1042.0
1,111500,1043.0
1,111600,1044.0
1,111700,1045.0
1,111800,1046.0
1,111900,1046.0
1,112000,1047.0
1,112100,1048.0
1,112200,1049.0
1,112300,1049.0
1,112400,1050.0
1,112500,1051.0
1,112600,1052.0
1,112700,1053.0
1,112800,1053.0
1,112900,1054.0
1,113000,1055.0
1,113100,1056.0
1,113200,1057.0
1,113300,1058.0
1,113400,1058.0
1,113500,1059.0
1,113600,1060.0
1,113700,1061.0
1,113800,1062.0
1,113900,1063.0
1,114000,1064.0
1,114100,1065.0
1,114200,1066.0
1,114300,1067.0
1,114400,1067.0
1,114500,1068.0
1,114600,1069.0
1,114700,1070.0
1,114800,1071.0
1,114900,1072.0
1,115000,1072.0
1,115100,1073.0
1,115200,1074.0
1,115300,1074.0
1,115400,1075.0
1,115500,1076.0
1,115600,1077.0
1,115700,1078.0
1,115800,1079.0
1,115900,1079.0
1,116000,1080.0
1,116100,1081.0
1,116200,1082.0
1,116300,1082.0
1,116400,1083.0
1,116500,1084.0
1,116600,1085.0
1,116700,1086.0
1,116800,1086.0
1,116900,1087.0
1,117000,1088.0
1,117100,1089.0
1,117200,1090.0
1,117300,1091.0
1,117400,1091.0
1,117500,1092.0
1,117600,1093.0
1,117700,1094.0
1,117800,1095.0
1,117900,1096.0
1,118000,1097.0
1,118100,1098.0
1,118200,1099.0
1,118300,1100.0
1,118400,1100.0
1,118500,1101.0
1,118600,1102.0
1,118700,1103.0
1,118800,1104.0
1,118900,1105.0
1,119000,1105.0
1,119100,1106.0
1,119200,1107.0
1,119300,1107.0
1,119400,1108.0
1,119500,1109.0
1,119600,1110.0
1,119700,1111.0
1,119800,1112.0
1,119900,1112.0
1,120000,1113.0
1,120100,1114.0
1,120200,1115.0
1,120300,1115.0
1,120400,1116.0
1,120500,1117.0
1,120600,1118.0
1,120700,1119.0
1,120800,1119.0
1,120900,1120.0
1,121000,1121.0
1,121100,1122.0
1,121200,1123.0
1,121300,1123.0
1,121400,1124.0
1,121500,1125.0
1,121600,1126.0
1,121700,1126.0
1,121800,1127.0
1,121900,1128.0
1,122000,1129.0
1,122100,1130.0
1,122200,1131.0
1,122300,1132.0
1,122400,1132.0
1,122500,1133.0
1,122600,1134.0
1,122700,1135.0
1,122800,1136.0
1,122900,1137.0
1,123000,1138.0
1,123100,1139.0
1,123200,1140.0
1,123300,1140.0
1,123400,1141.0
1,123500,1142.0
1,123600,1143.0
1,123700,1144.0
1,123800,1145.0
1,123900,1145.0
1,124000,1146.0
1,124100,1147.0
1,124200,1148.0
1,124300,1148.0
1,124400,1149.0
1,124500,1150.0
1,124600,1151.0
1,124700,1152.0
1,124800,1152.0
1,124900,1153.0
1,125000,1154.0
1,125100,1155.0
1,125200,1156.0
1,125300,1156.0
1,125400,1157.0
1,125500,1158.0
1,125600,1159.0
1,125700,1159.0
1,125800,1160.0
1,125900,1161.0
1,126000,1162.0
1,126100,1163.0
1,126200,1164.0
1,126300,1165.0
1,126400,1165.0
1,126500,1166.0
1,126600,1167.0
1,126700,1168.0
1,126800,1169.0
1,126900,1170.0
1,127000,1171.0
1,127100,1172.0
1,127200,1173.0
1,127300,1174.0
1,127400,1174.0
1,127500,1175.0
1,127600,1176.0
1,127700,1177.0
1,127800,1178.0
1,127900,1179.0
1,128000,1179.0
1,128100,1180.0
1,128200,1181.0
1,128300,1181.0
1,128400,1182.0
1,128500,1183.0
1,128600,1184.0
1,128700,1185.0
1,128800,1186.0
1,128900,1186.0
1,129000,1187.0
1,129100,1188.0
1,129200,1189.0
1,129300,1189.0
1,129400,1190.0
1,129500,1191.0
1,129600,1192.0
1,129700,1193.0
1,129800,1193.0
1,129900,1194.0
1,130000,1195.0
1,130100,1196.0
1,130200,1197.0
1,130300,1198.0
1,130400,1198.0
1,130500,1199.0
1,130600,1200.0
1,130700,1201.0
1,130800,1202.0
1,130900,1203.0
1,131000,1204.0
1,131100,1205.0
1,131200,1206.0
1,131300,1207.0
1,131400,1207.0
1,131500,1208.0
1,131600,1209.0
1,131700,1210.0
1,131800,1211.0
1,131900,1212.0
1,132000,1212.0
1,132100,1213.0
1,132200,1214.0
1,132300,1214.0
1,132400,1215.0
1,132500,1216.0
1,132600,1217.0
1,132700,1218.0
1,132800,1219.0
1,132900,1219.0
1,133000,1220.0
1,133100,1221.0
1,133200,1222.0
1,133300,1222.0
1,133400,1223.0
1,133500,1224.0
1,133600,1225.0
1,133700,1226.0
1,133800,1226.0
1,133900,1227.0
1,134000,1228.0
1,134100,1229.0
1,134200,1230.0
1,134300,1231.0
1,134400,1231.0
1,134500,1232.0
1,134600,1233.0
1,134700,1234.0
1,134800,1235.0
1,134900,1236.0
1,135000,1237.0
1,135100,1238.0
1,135200,1239.0
1,135300,1240.0
1,135400,1240.0
1,135500,1241.0
1,135600,1242.0
1,135700,1243.0
1,135800,1244.0
1,135900,1245.0
1,136000,1245.0
1,136100,1246.0
1,136200,1247.0
1,136300,1247.0
1,136400,1248.0
1,136500,1249.0
1,136600,1250.0
1,136700,1251.0
1,136800,1252.0
1,136900,1252.0
1,137000,1253.0
1,137100,1254.0
1,137200,1255.0
1,137300,1255.0
1,137400,1256.0
1,137500,1257.0
1,137600,1258.0
1,137700,1259.0
1,137800,1259.0
1,137900,1260.0
1,138000,1261.0
1,138100,1262.0
1,138200,1263.0
1,138300,1263.0
1,138400,1264.0
1,138500,1265.0
1,138600,1266.0
1,138700,1266.0
1,138800,1267.0
1,138900,1268.0
1,139000,1269.0
1,139100,1270.0
1,139200,1271.0
1,139300,1272.0
1,139400,1272.0
1,139500,1273.0
